,Country,PrimaryEducation,SecondaryEducation,TertiaryEducation,Spending
197,Ukraine,N/A,N/A,N/A,5.417079926
198,United Arab Emirates,95.02753,92.79992,N/A,N/A
199,United Kingdom,99.49182,97.13247,59.99557114,5.384990215
200,United States of America,94.62633,92.45022,88.16738892,5.109220028
201,Uruguay,99.3775,88.21273,63.12577057,4.470970154
202,Uzbekistan,96.26941,90.85635,9.181099892,5.032820225
203,Vanuatu,N/A,N/A,N/A,4.533530235
204,Venezuela,87.39174,73.24477,N/A,1.344079971
205,Vietnam,N/A,N/A,N/A,4.085539818
206,British Virgin Islands,N/A,68.10811,N/A,2.462599993
207,Virgin Islands (U.S.),N/A,N/A,N/A,N/A
208,Yemen,N/A,N/A,N/A,N/A
209,Zambia,83.16745,N/A,N/A,3.729640007
210,Zimbabwe,N/A,N/A,8.87594986,5.818779945
