"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1993","1993","USD","US Dollar","0","Units",,,49.843589,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1994","1994","USD","US Dollar","0","Units",,,50.872062,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,52.137055,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,52.705155,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,53.577234,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,54.902497,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,55.693666,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,57.168797,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,58.238429,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,59.938668,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,60.280773,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,60.946954,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,61.487911,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,63.018745,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,62.723395,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,62.323215,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,61.685771,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,62.484285,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,63.109941,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,63.316137,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,64.173601,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,64.791079,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,65.316731,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,65.499243,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,66.881126,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,67.155153,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,67.417144,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,67.757324,,
"FRA","France","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,66.745494,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1970","1970","USD","US Dollar","0","Units",,,24.997145,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1971","1971","USD","US Dollar","0","Units",,,26.088089,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1972","1972","USD","US Dollar","0","Units",,,27.388072,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1973","1973","USD","US Dollar","0","Units",,,28.785134,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1974","1974","USD","US Dollar","0","Units",,,29.947238,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1975","1975","USD","US Dollar","0","Units",,,31.074,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1976","1976","USD","US Dollar","0","Units",,,32.522757,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1977","1977","USD","US Dollar","0","Units",,,33.862079,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1978","1978","USD","US Dollar","0","Units",,,34.907447,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1979","1979","USD","US Dollar","0","Units",,,35.906958,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1980","1980","USD","US Dollar","0","Units",,,36.209255,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1981","1981","USD","US Dollar","0","Units",,,36.81123,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1982","1982","USD","US Dollar","0","Units",,,37.192097,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1983","1983","USD","US Dollar","0","Units",,,38.412381,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1984","1984","USD","US Dollar","0","Units",,,39.426925,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1985","1985","USD","US Dollar","0","Units",,,40.336667,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1986","1986","USD","US Dollar","0","Units",,,40.947861,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1987","1987","USD","US Dollar","0","Units",,,41.507998,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1988","1988","USD","US Dollar","0","Units",,,42.578714,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1989","1989","USD","US Dollar","0","Units",,,44.060484,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1990","1990","USD","US Dollar","0","Units",,,45.617388,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1991","1991","USD","US Dollar","0","Units",,,47.203373,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1992","1992","USD","US Dollar","0","Units",,,48.408308,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1993","1993","USD","US Dollar","0","Units",,,49.35082,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1994","1994","USD","US Dollar","0","Units",,,50.628,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1995","1995","USD","US Dollar","0","Units",,,51.390581,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1996","1996","USD","US Dollar","0","Units",,,52.255597,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1997","1997","USD","US Dollar","0","Units",,,53.53631,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1998","1998","USD","US Dollar","0","Units",,,54.081496,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","1999","1999","USD","US Dollar","0","Units",,,54.695538,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2000","2000","USD","US Dollar","0","Units",,,56.051436,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2001","2001","USD","US Dollar","0","Units",,,57.4591,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2002","2002","USD","US Dollar","0","Units",,,57.991792,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2003","2003","USD","US Dollar","0","Units",,,58.437853,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2004","2004","USD","US Dollar","0","Units",,,58.970058,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2005","2005","USD","US Dollar","0","Units",,,59.900695,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2006","2006","USD","US Dollar","0","Units",,,60.858653,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2007","2007","USD","US Dollar","0","Units",,,61.577685,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2008","2008","USD","US Dollar","0","Units",,,61.593702,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2009","2009","USD","US Dollar","0","Units",,,59.739676,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2010","2010","USD","US Dollar","0","Units",,,61.116778,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2011","2011","USD","US Dollar","0","Units",,,62.706421,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2012","2012","USD","US Dollar","0","Units",,,63.093299,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,63.392823,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,64.049842,,
"DEU","Germany","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,64.376152,,
